file,brand,source,accessed_at,notes
public/brands/toyota.svg,Toyota,https://simpleicons.org/?q=toyota,2026-08-13,Trademark belongs to its owner
public/brands/ford.svg,Ford,https://simpleicons.org/?q=ford,2026-08-13,Trademark belongs to its owner
public/brands/chevrolet.svg,Chevrolet,https://simpleicons.org/?q=chevrolet,2026-08-13,Trademark belongs to its owner
public/brands/mitsubishi.svg,Mitsubishi,https://simpleicons.org/?q=mitsubishi,2026-08-13,Trademark belongs to its owner
public/brands/nissan.svg,Nissan,https://simpleicons.org/?q=nissan,2026-08-13,Trademark belongs to its owner
public/brands/volkswagen.svg,Volkswagen,https://simpleicons.org/?q=volkswagen,2026-08-13,Trademark belongs to its owner
public/brands/ram.svg,RAM,https://simpleicons.org/?q=ram,2026-08-13,Trademark belongs to its owner
public/brands/jeep.svg,Jeep,https://simpleicons.org/?q=jeep,2026-08-13,Trademark belongs to its owner
